iter	Passed	Remaining
738	21100	7452
739	21132	7425
740	21169	7399
741	21207	7373
742	21243	7348
743	21270	7318
744	21299	7290
745	21326	7261
746	21360	7234
747	21391	7206
748	21429	7181
749	21454	7151
750	21481	7122
751	21512	7094
752	21541	7065
753	21567	7036
754	21596	7008
755	21625	6979
756	21662	6953
757	21683	6922
758	21716	6895
759	21762	6872
760	21788	6842
761	21817	6814
762	21841	6784
763	21864	6753
764	21898	6727
765	21937	6701
766	21984	6678
767	22009	6648
768	22037	6619
769	22067	6591
770	22097	6563
771	22129	6535
772	22157	6506
773	22183	6477
774	22205	6446
775	22236	6418
776	22276	6393
777	22307	6365
778	22334	6336
779	22371	6309
780	22401	6281
781	22435	6254
782	22465	6225
783	22495	6197
784	22525	6169
785	22547	6138
786	22577	6110
787	22604	6081
788	22641	6054
789	22676	6027
790	22701	5998
791	22726	5968
792	22759	5941
793	22794	5913
794	22823	5885
795	22850	5856
796	22878	5827
797	22906	5798
798	22944	5772
799	22972	5743
800	23004	5715
801	23030	5685
802	23056	5656
803	23088	5628
804	23115	5599
805	23143	5570
806	23168	5540
807	23194	5511
808	23223	5482
809	23257	5455
810	23285	5426
811	23319	5399
812	23353	5371
813	23380	5342
814	23421	5316
815	23457	5289
816	23485	5260
817	23514	5231
818	23538	5201
819	23566	5173
820	23596	5144
821	23624	5115
822	23652	5086
823	23691	5060
824	23722	5031
825	23756	5004
826	23791	4976
827	23819	4947
828	23845	4918
829	23876	4890
830	23900	4860
831	23927	4831
832	23960	4803
833	23999	4776
834	24032	4749
835	24080	4723
836	24108	4695
837	24140	4666
838	24168	4637
839	24191	4607
840	24224	4579
841	24258	4552
842	24287	4523
843	24326	4496
844	24355	4467
845	24382	4438
846	24418	4410
847	24449	4382
848	24487	4355
849	24517	4326
850	24541	4296
851	24564	4267
852	24592	4238
853	24620	4209
854	24643	4179
855	24673	4150
856	24697	4121
857	24723	4091
858	24754	4063
859	24784	4034
860	24809	4005
861	24832	3975
862	24898	3952
863	24929	3924
864	24958	3895
865	24984	3865
866	25012	3836
867	25034	3807
868	25063	3778
869	25091	3749
870	25119	3720
871	25145	3691
872	25171	3661
873	25201	3633
874	25227	3603
875	25253	3574
876	25282	3545
877	25310	3516
878	25341	3488
879	25371	3459
880	25405	3431
881	25432	3402
882	25460	3373
883	25485	3344
884	25514	3315
885	25550	3287
886	25578	3258
887	25638	3233
888	25665	3204
889	25692	3175
890	25714	3145
